IP,Service,Area,Country
104.21.88.218,AS13335 Cloudflare_ Inc.,America/Los_Angeles,US
13.107.213.72,AS8075 Microsoft Corporation,America/Los_Angeles,US
157.240.23.19,AS32934 Facebook_ Inc.,Asia/Kolkata,IN
91.108.23.100,AS44907 Telegram Messenger Inc,Asia/Kolkata,IN
35.83.159.7,AS16509 Amazon.com_ Inc.,America/Los_Angeles,US
157.240.23.15,AS32934 Facebook_ Inc.,Asia/Kolkata,IN
157.240.23.51,AS32934 Facebook_ Inc.,Asia/Kolkata,IN
172.217.161.27,AS15169 Google LLC,Asia/Kolkata,IN
202.12.29.1,AS4608 Asia Pacific Network Information Centre,Australia/Brisbane,AU
108.158.46.127,AS16509 Amazon.com_ Inc.,Asia/Kolkata,IN
157.240.23.19,AS32934 Facebook_ Inc.,Asia/Kolkata,IN
35.83.159.7,AS16509 Amazon.com_ Inc.,America/Los_Angeles,US
52.205.1.51,AS14618 Amazon.com_ Inc.,America/New_York,US
35.173.112.105,AS14618 Amazon.com_ Inc.,America/New_York,US
44.218.65.140,AS14618 Amazon.com_ Inc.,America/New_York,US
157.240.23.53,AS32934 Facebook_ Inc.,Asia/Kolkata,IN
104.46.162.226,AS8075 Microsoft Corporation,Australia/Melbourne,AU
108.158.46.127,AS16509 Amazon.com_ Inc.,Asia/Kolkata,IN
91.108.56.135,AS62014 Telegram Messenger Inc,Asia/Singapore,SG
203.23.178.51,AS137409 GSL Networks Pty LTD,Europe/Berlin,DE
64.233.170.95,AS15169 Google LLC,Asia/Singapore,SG
100.24.131.104,AS14618 Amazon.com_ Inc.,America/New_York,US
91.108.23.100,AS44907 Telegram Messenger Inc,Asia/Kolkata,IN
149.154.167.99,AS62041 Telegram Messenger Inc,Europe/Amsterdam,NL
172.217.161.27,AS15169 Google LLC,Asia/Kolkata,IN
104.21.88.218,AS13335 Cloudflare_ Inc.,America/Los_Angeles,US
91.108.56.135,AS62014 Telegram Messenger Inc,Asia/Singapore,SG
157.240.23.19,AS32934 Facebook_ Inc.,Asia/Kolkata,IN
91.108.56.135,AS62014 Telegram Messenger Inc,Asia/Singapore,SG
142.250.206.129,AS15169 Google LLC,Asia/Kolkata,IN
20.189.109.68,AS8075 Microsoft Corporation,Asia/Hong_Kong,HK
20.189.173.15,AS8075 Microsoft Corporation,America/Los_Angeles,US
108.158.46.102,AS16509 Amazon.com_ Inc.,Asia/Kolkata,IN
64.233.170.95,AS15169 Google LLC,Asia/Singapore,SG
208.67.222.123,AS36692 Cisco OpenDNS_ LLC,America/Los_Angeles,US
142.251.10.94,AS15169 Google LLC,Asia/Singapore,SG
142.250.206.138,AS15169 Google LLC,Asia/Kolkata,IN
142.250.182.174,AS15169 Google LLC,Asia/Kolkata,IN
208.67.222.123,AS36692 Cisco OpenDNS_ LLC,America/Los_Angeles,US
103.136.157.13,AS138688 Bondhon Online Network,Asia/Dhaka,BD
