Serial No.,Verb
1,Lists
2,Try
3,Finds
4,S/He
5,Changed
6,Redirected
7,Store
8,Consists
9,See
10,Received
11,Save
12,Provided
13,Asked
14,Visit
15,Providing
16,Displayed
17,Shown
18,Refuse
19,Reminder
20,Receive
21,Resolved
22,Detect
23,Matched
24,Correct
25,Predict
26,Complaint
27,Performed
28,Match
29,Submitted
30,Corresponding
31,Doctor
32,Accessing
33,Completed
34,Sent
35,Send
36,Take
37,Password
38,Considered
39,Get
40,Check
41,Provide
42,Remove
43,Designated
44,Registered
45,Turn
46,Appointed
47,Stored
48,Needs
49,Associated
50,Stating
51,Related
52,Wants
53,Redirect
54,Go
55,Register
56,Refused
57,Notified
58,Reset
59,Saying
60,Complained
61,According
62,Provides
63,Directed
64,Continue
65,Ask
66,Automated
